Bitcoin,,,,SP500,,,Bitcoin,,NVDA ,,Gold Spot,,,Gold,,,,,
Date,Adjusted close price,Log Daily Returns,,,Adjusted close price,Log Daily Returns,Adjusted close price,Log Daily Returns,Adjusted Close Price,Log Daily Returns,Adjusted Close Price,Log Daily Returns,,,4/29/2013,"1,469.60",,work cited,https://finance.yahoo.com/
4/28/2013,134.21,,,4/30/2013,"1,597.57",,139.00,,12.850796,,1469.31,,,"1,469.31",4/30/2013,"1,469.31",,,https://coinmarketcap.com/currencies/bitcoin/historical-data/
4/29/2013,144.54,0.07415055,,5/1/2013,"1,582.70",-0.00935147258,116.99,-17.24%,12.738806,-0.008752829761,1473.18,0.002630426769,,"1,473.18",5/1/2013,"1,473.18",,,
4/30/2013,139,-0.03908235,,5/2/2013,"1,597.59",0.00936400403,105.21,-10.61%,12.888124,0.01165334199,1455.11,-0.01234183047,,"1,455.11",5/2/2013,"1,455.11",,,
5/1/2013,116.99,-0.17238547,,5/3/2013,"1,614.42",0.01047956387,97.75,-7.35%,12.944119,0.004335286541,1474.56,0.01327814106,,"1,474.56",5/3/2013,"1,474.56",,,
5/2/2013,105.21,-0.10613011,,5/6/2013,"1,617.50",0.00190596109,112.30,-3.16%,12.90679,-0.002888024243,1473.96,-0.0004069838484,,"1,473.96",5/4/2013,,,,
5/3/2013,97.75,-0.07354515,,5/7/2013,"1,625.96",0.00521663920,111.50,-0.71%,12.738806,-0.01310060429,1465.31,-0.005885832177,,"1,465.31",5/5/2013,,,,
5/4/2013,112.5,0.14054002,,5/8/2013,"1,632.69",0.00413053858,113.57,1.84%,12.972118,0.01814935973,1452.41,-0.00884257849,,"1,452.41",5/6/2013,"1,473.96",,,
5/5/2013,115.91,0.02986081,,5/9/2013,"1,626.67",-0.00369391775,112.67,-0.80%,12.981448,0.0007189763751,1470.54,0.01240543458,,"1,470.54",5/7/2013,"1,465.31",,,
5/6/2013,112.3,-0.03164017,,5/10/2013,"1,633.70",0.00431234363,117.20,3.94%,13.569394,0.04429555422,1456.71,-0.009449211993,,"1,456.71",5/8/2013,"1,452.41",,,
5/7/2013,111.5,-0.00714927,,5/13/2013,"1,633.77",0.00004288884,117.98,2.56%,13.289419,-0.02084866083,1435.75,-0.01449310752,,"1,435.75",5/9/2013,"1,470.54",,,
5/8/2013,113.57,0.01839480,,5/14/2013,"1,650.34",0.01009106679,111.50,-5.65%,13.485399,0.0146393899,1438.41,0.001850976118,,"1,438.41",5/10/2013,"1,456.71",,,
5/9/2013,112.67,-0.00795619,,5/15/2013,"1,658.78",0.00510110320,114.22,2.41%,13.718713,0.01715326865,1424.59,-0.009654283857,,"1,424.59",5/11/2013,,,,
5/10/2013,117.2,0.03941868,,5/16/2013,"1,650.47",-0.00502233163,118.76,3.90%,13.653385,-0.004773336997,1392.31,-0.02291981476,,"1,392.31",5/12/2013,,,,
5/11/2013,115.24,-0.01686497,,5/17/2013,"1,667.47",0.01024741198,123.01,3.52%,13.877364,0.01627154726,1387.94,-0.003143604783,,"1,387.94",5/13/2013,"1,435.75",,,
5/12/2013,115,-0.00208478,,5/20/2013,"1,666.29",-0.00070786862,122.00,0.01%,13.849368,-0.002019423675,1345.64,-0.03095089717,,"1,345.64",5/14/2013,"1,438.41",,,
5/13/2013,117.98,0.02558299,,5/21/2013,"1,669.16",0.00172090461,122.88,0.72%,13.994755,0.01044301674,1395.15,0.03613220006,,"1,395.15",5/15/2013,"1,424.59",,,
5/14/2013,111.5,-0.05649053,,5/22/2013,"1,655.35",-0.00830807391,123.89,0.82%,13.507,-0.03547454698,1384.46,-0.007691764459,,"1,384.46",5/16/2013,"1,392.31",,,
5/15/2013,114.22,0.02410182,,5/23/2013,"1,650.51",-0.00292811521,126.70,2.24%,13.722738,0.01584609549,1384.36,-0.00007223293681,,"1,384.36",5/17/2013,"1,387.94",,,
5/16/2013,118.76,0.03897824,,5/24/2013,"1,649.60",-0.00055151739,133.20,5.00%,13.638322,-0.00617054075,1391.91,0.005438965671,,"1,391.91",5/18/2013,,,,
5/17/2013,123.01,0.03516100,,5/28/2013,"1,660.06",0.00632096210,129.00,-0.57%,13.62894,-0.0006881512614,1391.24,-0.0004814688486,,"1,391.24",5/19/2013,,,,
5/18/2013,123.5,0.00397550,,5/29/2013,"1,648.36",-0.00707293670,132.30,2.53%,13.544521,-0.006213361749,1385.1,-0.004423096602,,"1,385.10",5/20/2013,"1,345.64",,,
5/19/2013,121.99,-0.01230208,,5/30/2013,"1,654.41",0.00366362522,128.80,-2.68%,13.722738,0.01307205376,1405.71,0.01477017402,,"1,405.71",5/21/2013,"1,395.15",,,
5/20/2013,122,0.00008197,,5/31/2013,"1,630.74",-0.01441057696,129.00,0.16%,13.572662,-0.01099654244,1416.21,0.007441776136,,"1,416.21",5/22/2013,"1,384.46",,,
5/21/2013,122.88,0.00718722,,6/3/2013,"1,640.42",0.00591844004,122.22,-0.06%,13.553901,-0.001383220056,1412.48,-0.002637264714,,"1,412.48",5/23/2013,"1,384.36",,,
5/22/2013,123.89,0.00818581,,6/4/2013,"1,631.38",-0.00552604797,121.42,-0.66%,13.572662,0.001383220056,1408.75,-0.002644238274,,"1,408.75",5/24/2013,"1,391.91",1408.75,,
5/23/2013,126.7,0.02242801,,6/5/2013,"1,608.90",-0.01387555487,121.65,0.19%,13.281884,-0.02165662117,1402.61,-0.00436799966,,"1,402.61",5/25/2013,,1402.61,,
5/24/2013,133.2,0.05002967,,6/6/2013,"1,622.56",0.00845445465,118.00,-3.05%,13.366304,0.006335911651,1398.91,-0.002641424763,,"1,398.91",5/26/2013,,1398.91,,
5/25/2013,131.98,-0.00920136,,6/7/2013,"1,643.38",0.01274991435,111.50,-5.67%,13.553901,0.01393748946,1412.69,0.009802326318,,"1,412.69",5/27/2013,"1,390.11",1412.69,,
5/26/2013,133.48,0.01130126,,6/10/2013,"1,642.81",-0.00034687343,106.35,6.16%,13.544521,-0.0006922912614,1382.91,-0.02130571362,,"1,382.91",5/28/2013,"1,391.24",1382.91,,
5/27/2013,129.74,-0.02841921,,6/11/2013,"1,626.13",-0.01020526436,108.90,2.37%,13.291266,-0.01887498353,1381.36,-0.001121453521,,"1,381.36",5/29/2013,"1,385.10",1381.36,,
