Date,GSPC_adj_price,GSPC_log_ret,BTC_adj_price,BTC_log_ret,NVDA_adj_price,NVDA_log_ret,Gold_adj_price,Gold_log_ret
4/30/2013,"1,597.57",0.00000000000,139,0.00%,12.850796,0,1469.31,0
5/1/2013,"1,582.70",-0.00935147258,116.99,-17.24%,12.738806,-0.008752829761,1473.18,0.002630426769
5/2/2013,"1,597.59",0.00936400403,105.21,-10.61%,12.888124,0.01165334199,1455.11,-0.01234183047
5/3/2013,"1,614.42",0.01047956387,97.75,-7.35%,12.944119,0.004335286541,1474.56,0.01327814106
5/6/2013,"1,617.50",0.00190596109,112.3,13.88%,12.90679,-0.002888024243,1473.96,-0.0004069838484
5/7/2013,"1,625.96",0.00521663920,111.5,-0.71%,12.738806,-0.01310060429,1465.31,-0.005885832177
5/8/2013,"1,632.69",0.00413053858,113.57,1.84%,12.972118,0.01814935973,1452.41,-0.00884257849
5/9/2013,"1,626.67",-0.00369391775,112.67,-0.80%,12.981448,0.0007189763751,1470.54,0.01240543458
5/10/2013,"1,633.70",0.00431234363,117.2,3.94%,13.569394,0.04429555422,1456.71,-0.009449211993
5/13/2013,"1,633.77",0.00004288884,117.98,0.66%,13.289419,-0.02084866083,1435.75,-0.01449310752
5/14/2013,"1,650.34",0.01009106679,111.5,-5.65%,13.485399,0.0146393899,1438.41,0.001850976118
5/15/2013,"1,658.78",0.00510110320,114.22,2.41%,13.718713,0.01715326865,1424.59,-0.009654283857
5/16/2013,"1,650.47",-0.00502233163,118.76,3.90%,13.653385,-0.004773336997,1392.31,-0.02291981476
5/17/2013,"1,667.47",0.01024741198,123.01,3.52%,13.877364,0.01627154726,1387.94,-0.003143604783
5/20/2013,"1,666.29",-0.00070786862,122,-0.82%,13.849368,-0.002019423675,1345.64,-0.03095089717
5/21/2013,"1,669.16",0.00172090461,122.88,0.72%,13.994755,0.01044301674,1395.15,0.03613220006
5/22/2013,"1,655.35",-0.00830807391,123.89,0.82%,13.507,-0.03547454698,1384.46,-0.007691764459
5/23/2013,"1,650.51",-0.00292811521,126.7,2.24%,13.722738,0.01584609549,1384.36,-0.00007223293681
5/24/2013,"1,649.60",-0.00055151739,133.2,5.00%,13.638322,-0.00617054075,1391.91,0.005438965671
5/28/2013,"1,660.06",0.00632096210,129,-3.20%,13.62894,-0.0006881512614,1391.24,-0.0004814688486
5/29/2013,"1,648.36",-0.00707293670,132.3,2.53%,13.544521,-0.006213361749,1385.1,-0.004423096602
5/30/2013,"1,654.41",0.00366362522,128.8,-2.68%,13.722738,0.01307205376,1405.71,0.01477017402
5/31/2013,"1,630.74",-0.01441057696,129,0.16%,13.572662,-0.01099654244,1416.21,0.007441776136
6/3/2013,"1,640.42",0.00591844004,122.22,-5.40%,13.553901,-0.001383220056,1412.48,-0.002637264714
6/4/2013,"1,631.38",-0.00552604797,121.42,-0.66%,13.572662,0.001383220056,1408.75,-0.002644238274
6/5/2013,"1,608.90",-0.01387555487,121.65,0.19%,13.281884,-0.02165662117,1402.61,-0.00436799966
6/6/2013,"1,622.56",0.00845445465,118,-3.05%,13.366304,0.006335911651,1398.91,-0.002641424763
