Date,GSPC_adj_price,GSPC_log_ret,BTC_adj_price,BTC_log_ret,NVDA_adj_price,NVDA_log_ret,Gold_adj_price,Gold_log_ret,US_inflation_rate,3_month_LIBOR,VIX,Column,
4/30/13,"1,597.57",0,139,0,12.850796,0,1469.31,0,0.0234,0.002731,13.52,1,
5/1/13,"1,582.70",-0.009351473,116.99,-0.17238547,12.738806,-0.00875283,1473.18,0.002630427,0.023,0.002731,14.49,-2,
5/2/13,"1,597.59",0.009364004,105.21,-0.10613011,12.888124,0.011653342,1455.11,-0.01234183,0.0228,0.002731,13.59,-2,
5/3/13,"1,614.42",0.010479564,97.75,-0.07354515,12.944119,0.004335287,1474.56,0.013278141,0.0231,0.002751,12.85,-2,
5/6/13,"1,617.50",0.001905961,112.3,0.13876066,12.90679,-0.002888024,1473.96,-0.000406984,0.0231,0.002751,12.66,2,
5/7/13,"1,625.96",0.005216639,111.5,-0.00714927,12.738806,-0.013100604,1465.31,-0.005885832,0.0232,0.002751,12.83,-2,
5/8/13,"1,632.69",0.004130539,113.57,0.0183948,12.972118,0.01814936,1452.41,-0.008842578,0.0229,0.002751,12.66,2,
5/9/13,"1,626.67",-0.003693918,112.67,-0.00795619,12.981448,0.000718976,1470.54,0.012405435,0.0231,0.002751,13.13,-2,
5/10/13,"1,633.70",0.004312344,117.2,0.03941868,13.569394,0.044295554,1456.71,-0.009449212,0.0235,0.002751,12.59,2,
5/13/13,"1,633.77",0.000042889,117.98,0.00663324,13.289419,-0.020848661,1435.75,-0.014493108,0.0233,0.002751,12.55,2,
5/14/13,"1,650.34",0.010091067,111.5,-0.05649053,13.485399,0.01463939,1438.41,0.001850976,0.0233,0.002741,12.77,-2,
5/15/13,"1,658.78",0.005101103,114.22,0.02410182,13.718713,0.017153269,1424.59,-0.009654284,0.023,0.002741,12.81,2,
5/16/13,"1,650.47",-0.005022332,118.76,0.03897824,13.653385,-0.004773337,1392.31,-0.022919815,0.0227,0.002741,13.07,2,
5/17/13,"1,667.47",0.010247412,123.01,0.035161,13.877364,0.016271547,1387.94,-0.003143605,0.0226,0.002736,12.45,2,
5/20/13,"1,666.29",-0.000707869,122,-0.00824461,13.849368,-0.002019424,1345.64,-0.030950897,0.0228,0.002731,13.02,-2,
5/21/13,"1,669.16",0.001720905,122.88,0.00718722,13.994755,0.010443017,1395.15,0.0361322,0.0228,0.002741,13.37,2,
5/22/13,"1,655.35",-0.008308074,123.89,0.00818581,13.507,-0.035474547,1384.46,-0.007691764,0.0227,0.0027375,13.82,2,
5/23/13,"1,650.51",-0.002928115,126.7,0.02242801,13.722738,0.015846096,1384.36,-0.000072233,0.0226,0.0027275,14.07,2,
5/24/13,"1,649.60",-0.000551517,133.2,0.05002967,13.638322,-0.006170541,1391.91,0.005438966,0.0227,0.0027275,13.99,2,
5/28/13,"1,660.06",0.006320962,129,-0.03203935,13.62894,-0.000688151,1391.24,-0.000481469,0.0229,0.0027275,14.48,-2,
5/29/13,"1,648.36",-0.007072937,132.3,0.02525967,13.544521,-0.006213362,1385.1,-0.004423097,0.0223,0.0027575,14.83,2,
5/30/13,"1,654.41",0.003663625,128.8,-0.02681126,13.722738,0.013072054,1405.71,0.014770174,0.0218,0.0027465,14.53,-2,
5/31/13,"1,630.74",-0.014410577,129,0.00155159,13.572662,-0.010996542,1416.21,0.007441776,0.0221,0.0027525,16.3,1,
6/3/13,"1,640.42",0.00591844,122.22,-0.0539897,13.553901,-0.00138322,1412.48,-0.002637265,0.022,0.0027325,16.28,-2,
6/4/13,"1,631.38",-0.005526048,121.42,-0.00656709,13.572662,0.00138322,1408.75,-0.002644238,0.0219,0.0027395,16.27,-2,
6/5/13,"1,608.90",-0.013875555,121.65,0.00189246,13.281884,-0.021656621,1402.61,-0.004368,0.0216,0.0027445,17.5,1,
6/6/13,"1,622.56",0.008454455,118,-0.03046344,13.366304,0.006335912,1398.91,-0.002641425,0.0213,0.0027425,16.63,-2,
