Date,BTC_log_ret,GSPC_adj_price,GSPC_log_ret,NVDA_adj_price,NVDA_log_ret,Gold_adj_price,Gold_log_ret,US_inflation_rate,3_month_LIBOR,lag_BTC_log_ret,lag_GSPC_adj_price,lag_GSPC_log_ret,lag_NVDA_adj_price,lag_NVDA_log_ret,lag_Gold_adj_price,lag_Gold_log_ret,lag_US_inflation_rate,lag_3_month_LIBOR,,,,,
4/30/2013,0,"1,597.57",0,12.850796,0,1469.31,0,0.0234,0.002731,0,0,0,0,0,0,0,0,0,,,,,
5/1/2013,-0.17238547,"1,582.70",-0.009351473,12.738806,-0.00875283,1473.18,0.002630427,0.023,0.002731,0,0,0,0,0,0,0,0,0,,,,,
5/2/2013,-0.10613011,"1,597.59",0.009364004,12.888124,0.011653342,1455.11,-0.01234183,0.0228,0.002731,0,0,0,0,0,0,0,0,0,,,,,
5/3/2013,-0.07354515,"1,614.42",0.010479564,12.944119,0.004335287,1474.56,0.013278141,0.0231,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/6/2013,0.13876066,"1,617.50",0.001905961,12.90679,-0.002888024,1473.96,-0.000406984,0.0231,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/7/2013,-0.00714927,"1,625.96",0.005216639,12.738806,-0.013100604,1465.31,-0.005885832,0.0232,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/8/2013,0.0183948,"1,632.69",0.004130539,12.972118,0.01814936,1452.41,-0.008842578,0.0229,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/9/2013,-0.00795619,"1,626.67",-0.003693918,12.981448,0.000718976,1470.54,0.012405435,0.0231,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/10/2013,0.03941868,"1,633.70",0.004312344,13.569394,0.044295554,1456.71,-0.009449212,0.0235,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/13/2013,0.00663324,"1,633.77",0.000042889,13.289419,-0.020848661,1435.75,-0.014493108,0.0233,0.002751,0,0,0,0,0,0,0,0,0,,,,,
5/14/2013,-0.05649053,"1,650.34",0.010091067,13.485399,0.01463939,1438.41,0.001850976,0.0233,0.002741,0,0,0,0,0,0,0,0,0,,,,,
5/15/2013,0.02410182,"1,658.78",0.005101103,13.718713,0.017153269,1424.59,-0.009654284,0.023,0.002741,0,0,0,0,0,0,0,0,0,,,,,
5/16/2013,0.03897824,"1,650.47",-0.005022332,13.653385,-0.004773337,1392.31,-0.022919815,0.0227,0.002741,0,0,0,0,0,0,0,0,0,,,,,
5/17/2013,0.035161,"1,667.47",0.010247412,13.877364,0.016271547,1387.94,-0.003143605,0.0226,0.002736,0,0,0,0,0,0,0,0,0,,,,,
5/20/2013,-0.00824461,"1,666.29",-0.000707869,13.849368,-0.002019424,1345.64,-0.030950897,0.0228,0.002731,0,0,0,0,0,0,0,0,0,,,,,
5/21/2013,0.00718722,"1,669.16",0.001720905,13.994755,0.010443017,1395.15,0.0361322,0.0228,0.002741,0,0,0,0,0,0,0,0,0,,,,,
5/22/2013,0.00818581,"1,655.35",-0.008308074,13.507,-0.035474547,1384.46,-0.007691764,0.0227,0.0027375,0,0,0,0,0,0,0,0,0,,,,,
5/23/2013,0.02242801,"1,650.51",-0.002928115,13.722738,0.015846096,1384.36,-0.000072233,0.0226,0.0027275,0,0,0,0,0,0,0,0,0,,,,,
5/24/2013,0.05002967,"1,649.60",-0.000551517,13.638322,-0.006170541,1391.91,0.005438966,0.0227,0.0027275,0,0,0,0,0,0,0,0,0,,,,,
5/28/2013,-0.03203935,"1,660.06",0.006320962,13.62894,-0.000688151,1391.24,-0.000481469,0.0229,0.0027275,0,0,0,0,0,0,0,0,0,,,,,
5/29/2013,0.02525967,"1,648.36",-0.007072937,13.544521,-0.006213362,1385.1,-0.004423097,0.0223,0.0027575,0,0,0,0,0,0,0,0,0,,,,,
5/30/2013,-0.02681126,"1,654.41",0.003663625,13.722738,0.013072054,1405.71,0.014770174,0.0218,0.0027465,0,0,0,0,0,0,0,0,0,,,,,
5/31/2013,0.00155159,"1,630.74",-0.014410577,13.572662,-0.010996542,1416.21,0.007441776,0.0221,0.0027525,0,0,0,0,0,0,0,0,0,,,,,
6/3/2013,-0.0539897,"1,640.42",0.00591844,13.553901,-0.00138322,1412.48,-0.002637265,0.022,0.0027325,0,0,0,0,0,0,0,0,0,,,,,
6/4/2013,-0.00656709,"1,631.38",-0.005526048,13.572662,0.00138322,1408.75,-0.002644238,0.0219,0.0027395,0,0,0,0,0,0,0,0,0,,,,,
6/5/2013,0.00189246,"1,608.90",-0.013875555,13.281884,-0.021656621,1402.61,-0.004368,0.0216,0.0027445,0,0,0,0,0,0,0,0,0,,,,,
6/6/2013,-0.03046344,"1,622.56",0.008454455,13.366304,0.006335912,1398.91,-0.002641425,0.0213,0.0027425,0,0,0,0,0,0,0,0,0,,,,,
6/7/2013,-0.05666003,"1,643.38",0.012749914,13.553901,0.01393749,1412.69,0.009802326,0.0214,0.0027515,0,0,0,0,0,0,0,0,0,,,,,
6/10/2013,-0.04728905,"1,642.81",-0.000346873,13.544521,-0.000692291,1382.91,-0.021305714,0.0211,0.0027415,0,0,0,0,0,0,0,0,0,,,,,
6/11/2013,0.02369449,"1,626.13",-0.010205264,13.291266,-0.018874984,1381.36,-0.001121454,0.0207,0.0027225,0,1597.57,0,12.850796,0,1469.31,0,0.0234,0.002731,,,,,
6/12/2013,-0.00691088,"1,612.52",-0.008404777,13.178707,-0.008504707,1374.59,-0.004913016,0.0204,0.0027325,-0.17238547,1582.7,-0.009351473,12.738806,-0.00875283,1473.18,0.002630427,0.023,0.002731,,,,,
